unit_nr,time_cycles,max_cycle,s2,s3,s4,s7,s11,s12,s13,s15,s17,s20,s21
1,136,148,1.0742,1.1339,1.2043,1.3774,1.3015,1.5315,1.1225,1.2571,1.0419,1.2105,1.3256
1,137,148,1.0277,1.2111,1.1081,1.4013,1.3513,1.4191,1.0398,1.3064,1.0131,1.1324,1.258
1,138,148,1.0899,1.187,1.1789,1.4236,1.3512,1.4713,1.1212,1.2613,1.0889,1.0353,1.35
1,139,148,1.0409,1.2752,1.144,1.4336,1.4268,1.4801,1.1263,1.2428,1.1126,1.1922,1.3308
1,140,148,1.0355,1.1868,1.1795,1.3583,1.3845,1.5557,1.0469,1.3219,1.0417,1.178,1.2713
1,141,148,1.0862,1.2172,1.2162,1.4952,1.4598,1.5325,1.0521,1.3282,1.0189,1.1522,1.3493
1,142,148,1.0884,1.2656,1.1757,1.381,1.4049,1.5364,1.09,1.3363,1.0638,1.1171,1.3433
1,143,148,1.0295,1.2742,1.1905,1.3971,1.463,1.628,1.0287,1.3208,1.0962,1.1843,1.3431
1,144,148,1.0978,1.1842,1.2396,1.404,1.5027,1.6005,1.0646,1.2895,1.137,1.1621,1.3278
1,145,148,1.0662,1.262,1.164,1.4619,1.4518,1.5373,1.0809,1.2411,1.0246,1.1389,1.2707
1,146,148,1.057,1.2319,1.1943,1.4346,1.3949,1.5114,1.064,1.2496,1.1168,1.1339,1.3442
1,147,148,1.065,1.321,1.1247,1.4802,1.4271,1.5256,1.1356,1.3095,1.0497,1.2109,1.3637
1,148,148,1.1459,1.2041,1.2594,1.4698,1.3664,1.5827,1.1237,1.2725,1.1334,1.1792,1.3936
2,1,188,0.9842,0.8674,0.8428,1.1776,1.1628,0.951,1.2021,1.1717,1.111,1.1775,1.083
2,2,188,0.9767,0.851,0.847,1.1948,1.1205,0.9667,1.1876,1.1694,1.1322,1.1718,1.1077
2,3,188,0.9749,0.86,0.8451,1.1865,1.1349,0.9801,1.1684,1.1756,1.0894,1.1619,1.0686
2,4,188,0.9604,0.8628,0.827,1.1363,1.1888,0.9492,1.1783,1.1782,1.1474,1.1689,1.092
2,5,188,1.0116,0.8644,0.8287,1.155,1.1717,1.0025,1.2157,1.1978,1.1171,1.1924,1.0594
2,6,188,0.9537,0.8362,0.8069,1.1547,1.1446,0.946,1.1765,1.1798,1.1277,1.1905,1.1025
2,7,188,0.9646,0.8983,0.8409,1.1577,1.1329,0.9584,1.1546,1.1155,1.1128,1.167,1.1115
2,8,188,0.988,0.824,0.8157,1.182,1.1262,0.9746,1.1718,1.1326,1.1118,1.1824,1.1101
2,9,188,0.9617,0.8676,0.828,1.2028,1.1285,0.9528,1.2056,1.1343,1.1193,1.1501,1.0204
2,10,188,0.9529,0.8369,0.8238,1.2018,1.1405,0.9423,1.1808,1.143,1.0887,1.1586,1.0551
2,11,188,0.9788,0.8816,0.8377,1.175,1.1319,1.0165,1.2226,1.1583,1.1177,1.1438,1.0656
2,12,188,0.9829,0.8114,0.803,1.1767,1.13,0.9448,1.1749,1.1795,1.114,1.1546,1.1203
2,13,188,0.9853,0.8628,0.83,1.1777,1.1753,0.9545,1.1868,1.148,1.1353,1.1605,1.0745
2,14,188,0.9752,0.8853,0.8442,1.1809,1.1548,0.9819,1.1788,1.1642,1.1374,1.164,1.1118
2,15,188,0.9771,0.8476,0.8802,1.1676,1.1654,0.9957,1.2057,1.1468,1.1067,1.1467,1.0868
2,16,188,0.9996,0.8931,0.8358,1.1721,1.1357,0.9667,1.1459,1.2115,1.1396,1.1405,1.1116
2,17,188,0.9881,0.8564,0.8424,1.1486,1.1631,1.0034,1.201,1.1513,1.1465,1.1811,1.0516
2,18,188,0.9527,0.8468,0.8436,1.1651,1.1286,0.9794,1.1813,1.1472,1.1285,1.1844,1.0736
2,19,188,0.9796,0.8278,0.8224,1.1787,1.1402,0.9864,1.1827,1.1522,1.1053,1.1575,1.0731
2,20,188,0.9968,0.8492,0.8433,1.2345,1.1855,0.9197,1.1971,1.1873,1.1308,1.1617,1.0985
2,21,188,0.97,0.8859,0.8083,1.1756,1.1403,0.9841,1.178,1.1444,1.1485,1.2072,1.1344
2,22,188,0.9628,0.8647,0.7902,1.1496,1.1105,0.9613,1.2024,1.1911,1.124,1.1148,1.1124
2,23,188,0.9605,0.8857,0.8568,1.1646,1.1651,0.9326,1.1938,1.1332,1.0987,1.1573,1.067
2,24,188,0.981,0.8287,0.8634,1.2171,1.1797,0.9852,1.1831,1.1544,1.1287,1.1951,1.0754
2,25,188,0.9706,0.829,0.7769,1.1888,1.1455,0.9758,1.2083,1.1854,1.1057,1.1694,1.0861
2,26,188,0.9691,0.8794,0.8281,1.202,1.1536,0.9952,1.2036,1.16,1.1059,1.2262,1.1136
2,27,188,1.0127,0.8603,0.8228,1.2007,1.1755,0.9989,1.186,1.1109,1.0996,1.2162,1.0479
2,28,188,1.0037,0.8562,0.8332,1.2329,1.1441,1.0053,1.2281,1.223,1.1831,1.1732,1.1044
2,29,188,1.0314,0.8576,0.8296,1.124,1.1194,0.9838,1.1749,1.1809,1.138,1.2087,1.1059
2,30,188,1.001,0.8919,0.7997,1.222,1.1627,0.935,1.1597,1.1845,1.1244,1.2124,1.1109
2,31,188,0.9563,0.876,0.8402,1.1768,1.1807,0.9833,1.1585,1.1623,1.1382,1.172,1.1158
2,32,188,0.9891,0.8916,0.8132,1.1545,1.1384,0.9842,1.1814,1.2213,1.089,1.1614,1.0963
2,33,188,0.9857,0.8952,0.7969,1.17,1.1741,1.0093,1.191,1.1709,1.1187,1.2141,1.0792
2,34,188,1.0106,0.8581,0.8068,1.187,1.1731,0.9613,1.1945,1.1814,1.1843,1.2032,1.1217
2,35,188,1.0146,0.8754,0.805,1.207,1.1457,0.9907,1.1948,1.1834,1.1173,1.1948,1.0582
2,36,188,0.9825,0.8893,0.8381,1.1879,1.1562,1.0183,1.2193,1.1455,1.1212,1.1919,1.1184
2,37,188,1.0101,0.8567,0.8452,1.1852,1.1757,1.017,1.2004,1.1366,1.1724,1.1705,1.0963
2,38,188,0.9707,0.87,0.8531,1.1894,1.1884,0.9688,1.1854,1.1459,1.1799,1.1479,1.1132
2,39,188,0.9875,0.829,0.8256,1.2106,1.1601,0.9886,1.229,1.1485,1.1728,1.1943,1.0716
2,40,188,0.9759,0.8654,0.8486,1.2008,1.1951,0.9834,1.2345,1.2,1.1356,1.1944,1.0777
2,41,188,0.9895,0.8312,0.7955,1.2074,1.1567,0.9941,1.1899,1.1758,1.2011,1.1455,1.1352
2,42,188,0.989,0.8764,0.8264,1.2019,1.1587,0.9974,1.2063,1.1749,1.1383,1.204,1.1214
2,43,188,0.9894,0.8744,0.7981,1.1561,1.1974,0.9662,1.2369,1.1852,1.1422,1.1974,1.1031
2,44,188,0.9685,0.8661,0.8643,1.1923,1.1428,1.0002,1.2021,1.2094,1.1321,1.1979,1.1436
2,45,188,0.9991,0.8967,0.8395,1.1921,1.1952,0.9797,1.2105,1.2225,1.1336,1.2413,1.1774
2,46,188,1.0377,0.8706,0.8323,1.1828,1.1833,0.9525,1.2152,1.1822,1.1391,1.2183,1.0817
2,47,188,0.9676,0.9351,0.8905,1.1952,1.1865,0.9796,1.2422,1.164,1.1319,1.1911,1.146
2,48,188,0.9847,0.8699,0.8698,1.1964,1.1586,0.992,1.2085,1.1911,1.1646,1.2203,1.0712
2,49,188,1.0223,0.8675,0.8097,1.1934,1.1951,0.9595,1.1892,1.1823,1.1493,1.1569,1.1105
2,50,188,0.9946,0.8769,0.8172,1.2224,1.1846,1.0219,1.2303,1.1639,1.1309,1.2246,1.111
2,51,188,0.9755,0.8452,0.8239,1.2141,1.1519,0.9841,1.2289,1.2219,1.1225,1.2336,1.1111
2,52,188,1.0245,0.8973,0.8512,1.1771,1.2069,1.0075,1.2377,1.1848,1.1641,1.2309,1.1079
2,53,188,1.0079,0.8683,0.8663,1.2251,1.1488,0.9834,1.2269,1.1999,1.1241,1.1946,1.1297
2,54,188,0.9579,0.9076,0.846,1.2197,1.1381,0.92,1.1898,1.1959,1.1891,1.2012,1.1055
2,55,188,1.0068,0.9023,0.8543,1.2259,1.1764,1.0178,1.2256,1.1717,1.1979,1.1945,1.0853
2,56,188,1.0112,0.8694,0.8494,1.2408,1.1824,1.0111,1.2006,1.2151,1.139,1.1661,1.1427
2,57,188,0.991,0.8554,0.8356,1.2497,1.1725,0.9704,1.2347,1.2219,1.1437,1.2498,1.0776
2,58,188,0.9616,0.8895,0.8248,1.2087,1.2289,0.9593,1.2701,1.2275,1.2484,1.2316,1.1652
2,59,188,1.0554,0.893,0.8654,1.2124,1.1998,0.9532,1.2722,1.2224,1.1752,1.1762,1.1403
2,60,188,1.032,0.8866,0.8647,1.1974,1.1984,0.9679,1.2385,1.1739,1.1494,1.2626,1.1026
2,61,188,1.0096,0.8915,0.8909,1.2134,1.2014,0.97,1.2397,1.1972,1.1673,1.2559,1.1469
2,62,188,1.0488,0.8537,0.8367,1.1811,1.134,0.9808,1.2715,1.2146,1.1757,1.2259,1.1733
2,63,188,0.9803,0.8755,0.8572,1.2499,1.1515,1.0145,1.2261,1.1923,1.2003,1.2192,1.1143
2,64,188,1.0775,0.9345,0.8795,1.2229,1.1675,0.9806,1.2723,1.1834,1.1678,1.2562,1.1573
2,65,188,1.0112,0.8951,0.8953,1.2392,1.218,1.0112,1.272,1.2401,1.2125,1.2038,1.1001
2,66,188,1.0187,0.8794,0.8805,1.182,1.2065,0.9971,1.2236,1.1961,1.1513,1.2197,1.0796
2,67,188,0.9961,0.9034,0.8756,1.2311,1.1891,1.0519,1.2479,1.1784,1.1857,1.1936,1.1249
2,68,188,1.0382,0.9262,0.8844,1.1615,1.2028,1.0011,1.2642,1.2036,1.1853,1.2092,1.1624
2,69,188,1.0452,0.9329,0.8781,1.1755,1.1652,0.9909,1.2331,1.2343,1.1981,1.2465,1.1569
2,70,188,1.0485,0.8684,0.8396,1.2073,1.216,0.9543,1.2283,1.2326,1.1729,1.2417,1.1609
2,71,188,1.0491,0.9479,0.8208,1.1993,1.2331,1.0061,1.2534,1.2444,1.1444,1.217,1.1158
2,72,188,1.0475,0.8929,0.8333,1.2564,1.2355,1.0225,1.2272,1.2398,1.1872,1.2221,1.1911
2,73,188,0.9878,0.8824,0.8303,1.2413,1.1864,1.0086,1.1656,1.1994,1.1397,1.2232,1.1478
2,74,188,1.003,0.9085,0.8935,1.2385,1.1674,1.0206,1.3062,1.2452,1.1908,1.2448,1.1384
2,75,188,1.0437,0.8936,0.8732,1.226,1.2062,0.9785,1.2758,1.1962,1.1532,1.2558,1.1602
2,76,188,0.9856,0.9178,0.8329,1.2085,1.2036,1.0609,1.3209,1.2176,1.2251,1.2729,1.1408
2,77,188,1.0793,0.8762,0.8993,1.2827,1.2046,1.0292,1.2476,1.2697,1.1869,1.2281,1.1674
2,78,188,1.0587,0.9088,0.9242,1.2369,1.2245,0.9987,1.2271,1.2229,1.2011,1.2576,1.1075
2,79,188,1.0017,0.9364,0.8511,1.1963,1.1849,1.0363,1.2085,1.2045,1.2021,1.2357,1.1954
2,80,188,1.0349,0.8926,0.8197,1.2609,1.1907,1.0807,1.2496,1.2093,1.1976,1.2404,1.1925
2,81,188,1.0817,0.9529,0.888,1.1958,1.2208,1.0213,1.2238,1.1975,1.2641,1.2565,1.1764
2,82,188,1.0716,0.9437,0.8733,1.3195,1.2202,1.0496,1.2476,1.2796,1.1586,1.2743,1.176
2,83,188,1.0837,0.9359,0.8706,1.251,1.1911,1.0003,1.2669,1.2096,1.213,1.2605,1.1654
