fl_date,month,day_of_month,day_of_week,op_unique_carrier,op_carrier_fl_num,origin,dest,crs_dep_time,crs_elapsed_time,distance,arr_delay
2024-07-31,7,31,3,DL,157,DEN,PHX,2045,107,602,2
2024-12-18,12,18,3,UA,158,EWR,MCO,1815,160,937,-7
2024-10-12,10,12,6,F9,159,JFK,LAX,945,371,2475,4
2024-11-09,11,9,6,AS,160,DEN,PHX,2245,128,602,3
2024-08-31,8,31,6,UA,161,IAH,LAS,1345,205,1220,10
2024-08-13,8,13,2,WN,162,MIA,BOS,1530,213,1258,-2
2024-03-18,3,18,1,DL,163,DFW,DEN,745,133,641,-4
2024-08-26,8,26,1,AS,164,SEA,SFO,1700,132,679,3
2024-01-04,1,4,4,NK,165,DEN,PHX,1815,115,602,2
2024-08-11,8,11,7,WN,166,MIA,BOS,1045,214,1258,2
2024-09-30,9,30,1,UA,167,BOS,MIA,500,205,1258,8
2024-08-24,8,24,6,NK,168,DFW,DEN,1145,130,641,0
2024-05-22,5,22,3,AS,169,ATL,JFK,745,125,760,-2
2024-04-24,4,24,3,AA,170,LAX,ORD,600,270,1745,10
2024-01-11,1,11,4,WN,171,SFO,SEA,815,119,679,5
2024-03-26,3,26,2,B6,172,LAX,ORD,1030,243,1745,-7
2024-10-21,10,21,1,AA,173,MIA,BOS,1100,203,1258,2
2024-12-22,12,22,7,WN,174,ORD,ATL,800,121,606,9
2024-07-08,7,8,1,NK,175,EWR,MCO,1845,158,937,-10
2024-11-21,11,21,4,NK,176,LAX,ORD,1815,263,1745,-6
2024-10-02,10,2,3,B6,177,BOS,MIA,1330,212,1258,8
2024-05-22,5,22,3,WN,178,ORD,ATL,1730,110,606,75
2024-04-03,4,3,3,F9,179,LAX,ORD,1530,268,1745,-2
2024-01-06,1,6,6,B6,180,SEA,SFO,1845,122,679,-3
2024-08-31,8,31,6,WN,181,IAH,LAS,730,192,1220,-10
2024-05-04,5,4,6,NK,182,IAH,LAS,2230,198,1220,5
2024-12-25,12,25,3,AS,183,LAX,ORD,815,250,1745,-3
2024-10-01,10,1,2,DL,184,IAH,LAS,1145,193,1220,-4
2024-04-09,4,9,2,B6,185,ORD,ATL,515,118,606,-1
2024-10-10,10,10,4,AA,186,JFK,LAX,2000,377,2475,10
2024-05-25,5,25,6,AA,187,BOS,MIA,630,215,1258,-5
2024-02-03,2,3,6,F9,188,ORD,ATL,615,114,606,96
2024-05-07,5,7,2,B6,189,ORD,ATL,1245,124,606,9
2024-10-28,10,28,1,F9,190,MIA,BOS,600,215,1258,9
2024-04-18,4,18,4,WN,191,EWR,MCO,1000,160,937,46
2024-08-18,8,18,7,AA,192,ATL,JFK,1230,147,760,-9
2024-08-20,8,20,2,B6,193,IAH,LAS,1145,188,1220,-2
2024-03-17,3,17,7,WN,194,EWR,MCO,615,180,937,-8
2024-10-18,10,18,5,B6,195,BOS,MIA,1445,215,1258,4
2024-10-03,10,3,4,B6,196,SEA,SFO,1830,124,679,21
2024-02-16,2,16,5,B6,197,JFK,LAX,530,368,2475,8
2024-08-28,8,28,3,AA,198,DFW,DEN,1045,140,641,-2
2024-08-28,8,28,3,F9,199,ORD,ATL,1030,123,606,-7
2024-12-05,12,5,4,F9,200,MIA,BOS,645,187,1258,7
2024-06-14,6,14,5,AS,201,MIA,BOS,545,198,1258,6
2024-09-22,9,22,7,AA,202,SFO,SEA,1900,111,679,10
2024-03-08,3,8,5,B6,203,SEA,SFO,800,125,679,5
2024-03-22,3,22,5,WN,204,IAH,LAS,715,211,1220,68
2024-03-01,3,1,5,DL,205,DEN,PHX,1430,113,602,107
2024-05-04,5,4,6,F9,206,DEN,PHX,2115,127,602,40
2024-07-31,7,31,3,DL,207,MIA,BOS,530,208,1258,-2
2024-10-23,10,23,3,B6,208,BOS,MIA,1945,196,1258,-6
2024-10-05,10,5,6,AS,209,SEA,SFO,1245,112,679,-4
2024-06-11,6,11,2,NK,210,JFK,LAX,1715,365,2475,2
2024-09-14,9,14,6,AA,211,DFW,DEN,1900,136,641,-7
2024-03-14,3,14,4,F9,212,JFK,LAX,745,375,2475,-6
2024-11-15,11,15,5,B6,213,LAX,ORD,2245,270,1745,0
2024-09-06,9,6,5,AS,214,EWR,MCO,1230,162,937,24
2024-02-20,2,20,2,DL,215,ATL,JFK,1915,147,760,-7
2024-01-24,1,24,3,B6,216,JFK,LAX,1645,354,2475,61
2024-07-29,7,29,1,WN,217,SEA,SFO,1000,124,679,-5
2024-12-15,12,15,7,NK,218,BOS,MIA,1245,205,1258,-6
2024-05-10,5,10,5,B6,219,DEN,PHX,1415,102,602,4
2024-10-27,10,27,7,F9,220,LAX,ORD,1930,246,1745,-2
2024-02-24,2,24,6,NK,221,DEN,PHX,1430,100,602,8
2024-01-05,1,5,5,NK,222,MIA,BOS,2030,209,1258,-9
2024-06-29,6,29,6,WN,223,BOS,MIA,900,213,1258,-2
2024-08-13,8,13,2,AA,224,MIA,BOS,730,195,1258,-6
2024-04-12,4,12,5,NK,225,DFW,DEN,2130,146,641,1
2024-09-03,9,3,2,UA,226,MIA,BOS,845,215,1258,0
2024-04-25,4,25,4,DL,227,DFW,DEN,2230,122,641,2
2024-05-15,5,15,3,NK,228,JFK,LAX,1730,353,2475,-2
2024-01-13,1,13,6,WN,229,DEN,PHX,1200,120,602,0
2024-06-03,6,3,1,F9,230,IAH,LAS,630,200,1220,21
2024-04-30,4,30,2,DL,231,ORD,ATL,1645,128,606,74
2024-12-01,12,1,7,UA,232,ATL,JFK,1300,147,760,3
2024-08-15,8,15,4,AS,233,SFO,SEA,830,122,679,1
2024-07-22,7,22,1,AS,234,JFK,LAX,715,370,2475,4
2024-06-19,6,19,3,AA,235,JFK,LAX,1100,376,2475,88
2024-04-20,4,20,6,WN,236,BOS,MIA,530,212,1258,-6
2024-10-03,10,3,4,UA,237,DFW,DEN,900,131,641,-10
2024-06-14,6,14,5,WN,238,BOS,MIA,1800,208,1258,-6
2024-08-17,8,17,6,DL,239,DEN,PHX,1915,130,602,-7
2024-12-03,12,3,2,AA,240,IAH,LAS,645,212,1220,-10
2024-12-17,12,17,2,NK,241,ATL,JFK,700,135,760,4
2024-03-05,3,5,2,UA,242,ORD,ATL,1545,129,606,7
2024-09-15,9,15,7,B6,243,DEN,PHX,815,113,602,105
2024-07-30,7,30,2,F9,244,SFO,SEA,830,118,679,3
2024-05-10,5,10,5,AS,245,EWR,MCO,700,181,937,76
2024-08-09,8,9,5,DL,246,ORD,ATL,2200,128,606,-6
2024-03-03,3,3,7,AS,247,EWR,MCO,630,174,937,3
2024-02-23,2,23,5,B6,248,LAX,ORD,1200,251,1745,5
2024-05-22,5,22,3,AS,249,ORD,ATL,2200,129,606,7
2024-04-02,4,2,2,B6,250,JFK,LAX,1600,355,2475,0
2024-12-02,12,2,1,UA,251,BOS,MIA,500,208,1258,97
2024-08-02,8,2,5,WN,252,ATL,JFK,1500,153,760,55
2024-03-21,3,21,4,AA,253,DFW,DEN,1345,141,641,26
2024-11-06,11,6,3,NK,254,DEN,PHX,830,113,602,6
2024-12-13,12,13,5,DL,255,MIA,BOS,615,197,1258,-1
2024-04-14,4,14,7,AA,256,JFK,LAX,1330,360,2475,-6
2024-09-11,9,11,3,DL,257,JFK,LAX,2215,366,2475,64
2024-07-22,7,22,1,AS,258,ORD,ATL,1900,137,606,18
2024-08-07,8,7,3,AS,259,BOS,MIA,1400,197,1258,3
2024-03-28,3,28,4,AA,260,LAX,ORD,745,267,1745,1
2024-08-11,8,11,7,DL,261,SFO,SEA,1430,112,679,2
2024-02-09,2,9,5,AS,262,DFW,DEN,1130,131,641,81
2024-02-22,2,22,4,UA,263,SFO,SEA,900,110,679,9
2024-10-15,10,15,2,F9,264,DEN,PHX,1530,104,602,8
2024-08-28,8,28,3,F9,265,ORD,ATL,630,126,606,51
2024-08-24,8,24,6,DL,266,MIA,BOS,700,204,1258,52
2024-10-24,10,24,4,NK,267,DEN,PHX,1915,110,602,-9
2024-03-18,3,18,1,F9,268,SEA,SFO,715,106,679,0
2024-08-12,8,12,1,WN,269,IAH,LAS,1030,196,1220,9
2024-07-28,7,28,7,B6,270,ATL,JFK,1500,135,760,-9
2024-12-13,12,13,5,DL,271,SEA,SFO,930,107,679,9
2024-06-07,6,7,5,UA,272,LAX,ORD,900,249,1745,2
2024-06-17,6,17,1,NK,273,EWR,MCO,745,171,937,6
2024-07-04,7,4,4,AS,274,JFK,LAX,2015,357,2475,0
2024-02-09,2,9,5,UA,275,DFW,DEN,2200,141,641,6
2024-03-08,3,8,5,AS,276,BOS,MIA,1045,186,1258,39
2024-12-12,12,12,4,NK,277,LAX,ORD,1445,247,1745,9
2024-08-28,8,28,3,WN,278,MIA,BOS,1945,209,1258,102
2024-09-14,9,14,6,B6,279,ATL,JFK,930,126,760,-4
2024-10-10,10,10,4,F9,280,LAX,ORD,830,242,1745,6
2024-08-18,8,18,7,UA,281,MIA,BOS,715,211,1258,71
2024-01-14,1,14,7,F9,282,LAX,ORD,1245,242,1745,1
2024-01-15,1,15,1,AS,283,SFO,SEA,1515,109,679,107
2024-08-29,8,29,4,AA,284,MIA,BOS,2045,204,1258,106
2024-01-10,1,10,3,AA,285,ORD,ATL,2145,113,606,7
2024-06-03,6,3,1,B6,286,SFO,SEA,1900,108,679,10
2024-10-01,10,1,2,F9,287,BOS,MIA,930,198,1258,-3
2024-06-29,6,29,6,AA,288,BOS,MIA,2130,187,1258,-8
2024-08-28,8,28,3,AA,289,ATL,JFK,1300,136,760,1
2024-05-03,5,3,5,DL,290,LAX,ORD,1515,241,1745,8
2024-06-22,6,22,6,AS,291,SEA,SFO,1945,125,679,115
2024-02-02,2,2,5,UA,292,DFW,DEN,1415,121,641,-9
2024-06-10,6,10,1,WN,293,JFK,LAX,2030,351,2475,7
2024-07-01,7,1,1,WN,294,MIA,BOS,1530,188,1258,99
2024-07-23,7,23,2,AS,295,ATL,JFK,1515,140,760,2
2024-09-22,9,22,7,F9,296,LAX,ORD,745,259,1745,70
2024-05-30,5,30,4,UA,297,SEA,SFO,1430,119,679,100
2024-12-19,12,19,4,NK,298,DFW,DEN,1830,140,641,1
2024-12-09,12,9,1,AA,299,ORD,ATL,515,137,606,-5
2024-03-05,3,5,2,F9,300,JFK,LAX,1645,380,2475,1
2024-03-19,3,19,2,AA,301,BOS,MIA,1900,203,1258,1
2024-07-06,7,6,6,UA,302,SEA,SFO,800,128,679,-3
2024-09-22,9,22,7,UA,303,DEN,PHX,1345,106,602,-2
2024-09-08,9,8,7,B6,304,IAH,LAS,1915,213,1220,25
2024-12-15,12,15,7,F9,305,ORD,ATL,730,138,606,1
2024-12-30,12,30,1,B6,306,DFW,DEN,1615,123,641,-5
2024-05-01,5,1,3,WN,307,DFW,DEN,1645,145,641,86
2024-02-14,2,14,3,UA,308,BOS,MIA,2145,209,1258,5
2024-02-07,2,7,3,NK,309,BOS,MIA,1945,206,1258,-8
2024-10-09,10,9,3,AS,310,DFW,DEN,1800,146,641,32
2024-03-19,3,19,2,DL,311,SEA,SFO,1630,132,679,-3
2024-04-10,4,10,3,DL,312,MIA,BOS,1400,201,1258,-6
2024-10-24,10,24,4,UA,313,BOS,MIA,1500,211,1258,9
2024-01-24,1,24,3,AA,314,ORD,ATL,1145,129,606,-2
2024-11-17,11,17,7,AA,315,DEN,PHX,2015,125,602,-1
2024-08-20,8,20,2,NK,316,MIA,BOS,1845,199,1258,72
2024-11-06,11,6,3,WN,317,LAX,ORD,1645,244,1745,0
2024-10-14,10,14,1,AS,318,SEA,SFO,1345,112,679,-7
2024-01-26,1,26,5,UA,319,ORD,ATL,1815,140,606,9
2024-10-22,10,22,2,UA,320,LAX,ORD,2045,255,1745,36
2024-01-12,1,12,5,B6,321,DEN,PHX,1215,118,602,4
2024-01-26,1,26,5,AS,322,JFK,LAX,2030,367,2475,10
2024-08-08,8,8,4,AA,323,ORD,ATL,1730,111,606,62
2024-10-18,10,18,5,NK,324,JFK,LAX,745,366,2475,-1
2024-05-23,5,23,4,F9,325,SEA,SFO,815,108,679,9
2024-06-22,6,22,6,NK,326,LAX,ORD,1145,256,1745,-6
2024-01-20,1,20,6,AA,327,JFK,LAX,2145,354,2475,5
2024-11-09,11,9,6,UA,328,LAX,ORD,1430,256,1745,9
2024-10-15,10,15,2,F9,329,IAH,LAS,1500,198,1220,1
2024-12-18,12,18,3,B6,330,IAH,LAS,1200,203,1220,-2
2024-09-25,9,25,3,F9,331,DFW,DEN,915,121,641,2
2024-01-10,1,10,3,DL,332,SFO,SEA,1145,121,679,3
2024-02-01,2,1,4,F9,333,IAH,LAS,1545,201,1220,7
2024-03-29,3,29,5,NK,334,LAX,ORD,1630,259,1745,7
2024-05-06,5,6,1,F9,335,SFO,SEA,1415,127,679,-1
2024-09-02,9,2,1,F9,336,LAX,ORD,1400,258,1745,-2
2024-06-25,6,25,2,NK,337,ATL,JFK,630,155,760,-1
2024-08-14,8,14,3,DL,338,LAX,ORD,1130,269,1745,-4
2024-02-25,2,25,7,B6,339,DFW,DEN,615,140,641,-3
2024-02-21,2,21,3,WN,340,JFK,LAX,900,380,2475,-7
2024-11-30,11,30,6,UA,341,ATL,JFK,1130,135,760,5
2024-01-31,1,31,3,B6,342,EWR,MCO,1200,184,937,89
2024-03-31,3,31,7,UA,343,ATL,JFK,2015,154,760,66
2024-01-05,1,5,5,B6,344,JFK,LAX,1445,370,2475,0
2024-09-15,9,15,7,F9,345,DFW,DEN,1515,143,641,-7
2024-05-11,5,11,6,F9,346,EWR,MCO,1415,160,937,59
2024-09-20,9,20,5,NK,347,ATL,JFK,1015,140,760,-7
2024-01-04,1,4,4,AS,348,SFO,SEA,1530,123,679,-2
2024-11-30,11,30,6,AA,349,MIA,BOS,1930,190,1258,-7
2024-09-14,9,14,6,NK,350,EWR,MCO,830,166,937,-1
2024-03-09,3,9,6,WN,351,SFO,SEA,1645,127,679,9
2024-12-06,12,6,5,F9,352,SEA,SFO,745,121,679,9
2024-10-15,10,15,2,AS,353,ORD,ATL,1115,115,606,6
2024-08-14,8,14,3,AS,354,SEA,SFO,2000,133,679,8
2024-08-20,8,20,2,F9,355,JFK,LAX,645,371,2475,8
2024-01-12,1,12,5,B6,356,IAH,LAS,700,198,1220,-4
2024-02-02,2,2,5,AS,357,IAH,LAS,2000,194,1220,24
2024-03-10,3,10,7,NK,358,DFW,DEN,1830,148,641,10
2024-07-12,7,12,5,NK,359,DEN,PHX,930,103,602,7
2024-07-20,7,20,6,UA,360,SEA,SFO,500,114,679,-3
2024-10-05,10,5,6,F9,361,EWR,MCO,1245,166,937,-3
2024-04-06,4,6,6,UA,362,MIA,BOS,645,204,1258,-7
2024-04-15,4,15,1,AA,363,SFO,SEA,615,128,679,4
2024-08-12,8,12,1,AA,364,ATL,JFK,930,132,760,-9
2024-11-02,11,2,6,AS,365,BOS,MIA,1415,206,1258,-3
2024-06-02,6,2,7,WN,366,ATL,JFK,1045,142,760,8
2024-06-25,6,25,2,F9,367,JFK,LAX,1545,363,2475,6
2024-07-11,7,11,4,UA,368,MIA,BOS,1230,212,1258,-3
2024-01-30,1,30,2,UA,369,DEN,PHX,2115,112,602,7
2024-04-14,4,14,7,WN,370,MIA,BOS,1600,202,1258,73
2024-05-17,5,17,5,WN,371,JFK,LAX,715,375,2475,-9
2024-04-16,4,16,2,WN,372,DEN,PHX,1115,130,602,-10
2024-09-02,9,2,1,DL,373,IAH,LAS,1715,202,1220,-4
2024-07-13,7,13,6,AS,374,MIA,BOS,1330,201,1258,-1
2024-02-20,2,20,2,F9,375,DEN,PHX,1130,110,602,0
2024-10-15,10,15,2,NK,376,JFK,LAX,1345,359,2475,-10
2024-06-17,6,17,1,UA,377,SFO,SEA,2030,113,679,-3
2024-11-24,11,24,7,F9,378,IAH,LAS,1015,208,1220,1
2024-10-04,10,4,5,F9,379,DFW,DEN,600,150,641,6
2024-07-30,7,30,2,AA,380,JFK,LAX,900,356,2475,-8
2024-01-31,1,31,3,F9,381,LAX,ORD,2045,240,1745,9
2024-10-09,10,9,3,AA,382,SEA,SFO,1330,105,679,108
2024-02-24,2,24,6,NK,383,DFW,DEN,1130,146,641,-3
2024-07-22,7,22,1,AS,384,MIA,BOS,1215,194,1258,4
2024-11-28,11,28,4,DL,385,EWR,MCO,1745,156,937,64
2024-03-28,3,28,4,AA,386,IAH,LAS,1500,213,1220,10
2024-04-18,4,18,4,AA,387,SFO,SEA,2030,106,679,8
2024-05-23,5,23,4,DL,388,EWR,MCO,1030,155,937,-9
2024-03-14,3,14,4,WN,389,BOS,MIA,730,190,1258,2
2024-07-18,7,18,4,WN,390,BOS,MIA,900,201,1258,2
2024-02-20,2,20,2,AS,391,JFK,LAX,1730,350,2475,0
2024-09-08,9,8,7,B6,392,DEN,PHX,1815,121,602,2
2024-11-12,11,12,2,NK,393,ORD,ATL,730,114,606,25
2024-11-20,11,20,3,NK,394,IAH,LAS,800,185,1220,1
2024-07-03,7,3,3,B6,395,DEN,PHX,1045,114,602,27
2024-01-14,1,14,7,NK,396,ORD,ATL,1545,110,606,9
2024-07-17,7,17,3,B6,397,ATL,JFK,1215,146,760,7
2024-03-12,3,12,2,NK,398,DFW,DEN,715,133,641,-6
2024-06-02,6,2,7,B6,399,ATL,JFK,1245,144,760,48
2024-02-24,2,24,6,WN,400,DEN,PHX,1545,125,602,66
2024-06-20,6,20,4,AS,401,DEN,PHX,930,110,602,10
2024-06-09,6,9,7,WN,402,DEN,PHX,1445,130,602,0
2024-07-11,7,11,4,WN,403,LAX,ORD,815,258,1745,1
2024-10-08,10,8,2,UA,404,EWR,MCO,1930,181,937,-4
2024-12-10,12,10,2,DL,405,ATL,JFK,1315,147,760,-3
2024-02-07,2,7,3,NK,406,ATL,JFK,1745,142,760,8
2024-12-25,12,25,3,AA,407,LAX,ORD,700,264,1745,10
2024-12-06,12,6,5,WN,408,EWR,MCO,1730,185,937,-9
2024-01-06,1,6,6,NK,409,ORD,ATL,2115,124,606,111
2024-08-25,8,25,7,AS,410,ATL,JFK,930,125,760,6
2024-05-31,5,31,5,F9,411,ORD,ATL,930,119,606,-7
2024-04-15,4,15,1,AS,412,DEN,PHX,1945,110,602,-7
2024-01-23,1,23,2,DL,413,MIA,BOS,815,214,1258,59
2024-03-30,3,30,6,WN,414,SEA,SFO,1915,130,679,3
2024-04-04,4,4,4,NK,415,EWR,MCO,515,169,937,2
2024-01-03,1,3,3,NK,416,ATL,JFK,815,136,760,-8
2024-08-22,8,22,4,AS,417,SFO,SEA,2130,124,679,5
2024-07-19,7,19,5,NK,418,BOS,MIA,1030,214,1258,4
2024-03-09,3,9,6,DL,419,EWR,MCO,1030,177,937,30
2024-07-17,7,17,3,UA,420,SEA,SFO,1815,120,679,65
2024-03-26,3,26,2,UA,421,SEA,SFO,1900,132,679,56
2024-09-05,9,5,4,AS,422,JFK,LAX,2145,363,2475,7
2024-12-29,12,29,7,F9,423,ATL,JFK,515,134,760,-8
2024-04-25,4,25,4,AA,424,MIA,BOS,2000,203,1258,74
2024-10-05,10,5,6,DL,425,MIA,BOS,1915,198,1258,-9
2024-11-30,11,30,6,DL,426,IAH,LAS,1930,196,1220,-9
2024-03-01,3,1,5,DL,427,DEN,PHX,1645,105,602,8
2024-04-15,4,15,1,UA,428,SFO,SEA,1315,115,679,7
2024-10-20,10,20,7,B6,429,MIA,BOS,945,214,1258,-7
2024-12-01,12,1,7,AA,430,MIA,BOS,930,211,1258,-3
2024-07-20,7,20,6,WN,431,EWR,MCO,1845,169,937,-2
2024-02-17,2,17,6,DL,432,EWR,MCO,1945,165,937,1
2024-02-17,2,17,6,AA,433,IAH,LAS,745,191,1220,1
2024-09-10,9,10,2,NK,434,SFO,SEA,2215,123,679,0
2024-12-15,12,15,7,F9,435,LAX,ORD,1900,243,1745,96
2024-08-21,8,21,3,UA,436,DEN,PHX,930,105,602,-4
2024-12-01,12,1,7,B6,437,ORD,ATL,1000,122,606,101
2024-12-24,12,24,2,B6,438,IAH,LAS,800,191,1220,-8
2024-03-08,3,8,5,F9,439,ORD,ATL,500,132,606,4
2024-08-04,8,4,7,AS,440,ORD,ATL,1700,133,606,-3
2024-06-09,6,9,7,DL,441,ORD,ATL,915,112,606,64
2024-11-28,11,28,4,AA,442,BOS,MIA,945,204,1258,-4
2024-02-14,2,14,3,F9,443,SFO,SEA,1730,135,679,31
2024-03-12,3,12,2,NK,444,LAX,ORD,2230,264,1745,-3
2024-06-03,6,3,1,AA,445,EWR,MCO,1730,175,937,-4
2024-09-10,9,10,2,AA,446,SFO,SEA,700,116,679,10
2024-07-17,7,17,3,AS,447,DFW,DEN,2215,144,641,1
2024-01-09,1,9,2,F9,448,ORD,ATL,600,140,606,43
2024-05-26,5,26,7,NK,449,SEA,SFO,1845,107,679,3
2024-02-12,2,12,1,UA,450,MIA,BOS,930,197,1258,-4
2024-12-23,12,23,1,DL,451,MIA,BOS,615,187,1258,-3
2024-08-20,8,20,2,NK,452,ORD,ATL,1000,110,606,101
2024-01-06,1,6,6,UA,453,IAH,LAS,2130,190,1220,6
2024-05-17,5,17,5,AS,454,DFW,DEN,1545,128,641,19
2024-12-30,12,30,1,DL,455,MIA,BOS,1930,186,1258,5
2024-03-26,3,26,2,F9,456,BOS,MIA,815,208,1258,-7
2024-01-07,1,7,7,AA,457,JFK,LAX,915,379,2475,2
2024-12-01,12,1,7,AA,458,SEA,SFO,1530,131,679,3
2024-07-09,7,9,2,DL,459,BOS,MIA,1015,210,1258,-9
2024-02-05,2,5,1,AA,460,ATL,JFK,1500,142,760,-1
2024-07-07,7,7,7,F9,461,JFK,LAX,1245,361,2475,-1
2024-10-06,10,6,7,F9,462,SFO,SEA,1800,112,679,-10
2024-12-21,12,21,6,AS,463,EWR,MCO,1730,158,937,-10
2024-05-01,5,1,3,WN,464,SEA,SFO,1300,106,679,-6
2024-07-30,7,30,2,WN,465,SEA,SFO,815,125,679,-8
2024-10-30,10,30,3,NK,466,ORD,ATL,1230,118,606,-6
2024-12-24,12,24,2,AS,467,ATL,JFK,1315,127,760,4
2024-10-26,10,26,6,WN,468,DFW,DEN,1930,133,641,73
2024-07-02,7,2,2,DL,469,SEA,SFO,1930,132,679,55
2024-03-21,3,21,4,DL,470,ORD,ATL,615,136,606,106
2024-02-16,2,16,5,AS,471,DFW,DEN,2100,141,641,2
2024-03-30,3,30,6,B6,472,MIA,BOS,2215,188,1258,4
2024-03-12,3,12,2,F9,473,ORD,ATL,1215,116,606,115
2024-12-17,12,17,2,NK,474,LAX,ORD,1300,240,1745,8
2024-11-26,11,26,2,DL,475,SFO,SEA,1500,106,679,119
2024-03-27,3,27,3,F9,476,JFK,LAX,2000,362,2475,2
2024-06-30,6,30,7,NK,477,DFW,DEN,1915,121,641,-2
2024-05-31,5,31,5,WN,478,EWR,MCO,600,163,937,5
2024-08-02,8,2,5,NK,479,DFW,DEN,1200,132,641,6
2024-10-05,10,5,6,AS,480,DEN,PHX,2130,112,602,8
2024-01-14,1,14,7,B6,481,DFW,DEN,645,136,641,-2
2024-04-29,4,29,1,AS,482,BOS,MIA,1230,202,1258,100
2024-10-21,10,21,1,AA,483,SFO,SEA,1015,112,679,1
2024-12-23,12,23,1,AS,484,IAH,LAS,915,211,1220,1
2024-06-07,6,7,5,F9,485,SEA,SFO,1215,105,679,23
2024-06-18,6,18,2,F9,486,JFK,LAX,1515,379,2475,32
2024-01-12,1,12,5,AS,487,JFK,LAX,830,380,2475,-6
2024-12-26,12,26,4,DL,488,LAX,ORD,1530,250,1745,-7
2024-08-11,8,11,7,UA,489,DFW,DEN,1515,142,641,10
